Year,Month,DayofMonth,DayOfWeek,CRSDepTime,CRSArrTime,UniqueCarrier,ArrDelay,DepDelay,Origin,Dest,delay,Meantemp,Meandewpoint,Meanhumidity,Meansealevelpre,Meanvisibility,Meanwindspeed,Rainfall,Cloudcover,Meantemp_arr,Meandewpoint_arr,Meanhumidity_arr,Meansealevelpre_arr,Meanvisibility_arr,Meanwindspeed_arr,Rainfall_arr,Cloudcover_arr,airport,city,state,country,lat,long,airport_arr,city_arr,state_arr,country_arr,lat_arr,long_arr
2008,5,7,3,1204,1258,9E,-6.0,-4.0,DTW,CAK,0,18.0,8.0,66.0,1012.0,11.0,19.0,6.86,7.0,18.0,6.0,63.0,1014.0,15.0,20.0,1.27,7.0,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,Akron-Canton Regional,Akron,OH,USA,40.91631194,-81.44246556
2008,6,17,2,1950,2126,US,-4.0,-2.0,CLT,IAH,0,26.0,7.0,58.0,1012.0,16.0,12.0,0.00,4.0,29.0,18.0,66.0,1016.0,16.0,6.0,4.06,5.0,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222
2008,7,25,5,1305,1550,AA,-11.0,2.0,MIA,STX,0,28.0,21.0,72.0,1020.0,16.0,11.0,0.00,5.0,28.0,22.0,74.0,1018.0,16.0,16.0,1.78,2.0,Miami International,Miami,FL,USA,25.79325,-80.29055556,Henry E. Rohlsen ,Christiansted,VI,USA,17.70188889,-64.79855556
2008,3,28,5,1920,1951,NW,5.0,2.0,GRR,MSP,1,1.0,-8.0,67.0,1030.0,13.0,12.0,T,4.0,0.0,-13.0,52.0,1028.0,16.0,5.0,0.00,1.0,Kent County International,Grand Rapids,MI,USA,42.88081972,-85.52276778,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225
2008,2,9,6,1240,1400,WN,-3.0,1.0,SJC,LAS,0,11.0,2.0,61.0,1023.0,16.0,3.0,0.00,3.0,12.0,-7.0,32.0,1023.0,16.0,6.0,0.00,1.0,San Jose International,San Jose,CA,USA,37.36186194,-121.92900890000001,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998
2008,7,12,6,925,1116,US,1.0,5.0,CLT,PBI,1,26.0,18.0,71.0,1020.0,13.0,5.0,0.00,1.0,27.0,19.0,73.0,1020.0,15.0,8.0,10.67,3.0,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417
2008,6,22,7,945,1055,WN,3.0,5.0,SAN,PHX,1,,,,,,,,,38.0,-1.0,17.0,1013.0,16.0,13.0,0.00,1.0,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.00805559999999
2008,1,20,7,931,1101,US,-14.0,-5.0,SJC,LAS,0,7.0,1.0,76.0,1019.0,14.0,5.0,0.00,5.0,7.0,-9.0,42.0,1017.0,16.0,11.0,0.00,1.0,San Jose International,San Jose,CA,USA,37.36186194,-121.92900890000001,McCarran International,Las Vegas,NV,USA,36.08036111,-115.15233329999998
2008,12,3,3,1510,1816,F9,31.0,17.0,DEN,SAT,1,-4.0,-10.0,76.0,1027.0,11.0,21.0,0.00,8.0,17.0,-2.0,58.0,1021.0,14.0,15.0,0.00,6.0,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778
2008,3,27,4,635,840,US,-11.0,-7.0,ATL,PHL,0,16.0,0.0,57.0,1022.0,16.0,15.0,0.00,3.0,8.0,-3.0,60.0,1020.0,16.0,11.0,1.02,7.0,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
